"Fap","diplome","Annee","Pourcentage"
"L3Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0412764408753352
"L3Z","Bac + 2","1982-1984",0.18086899939436
"L3Z","Bac, brevet professionnel ou équivalent","1982-1984",0.277215913178996
"L3Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.291887844095497
"L3Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.203129944402648
"L3Z","En cours d'études initiales","1982-1984",0.00562085805316361
"L4Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0884127712495381
"L4Z","Bac + 2","1982-1984",0.0993716395249093
"L4Z","Bac, brevet professionnel ou équivalent","1982-1984",0.227909450694139
"L4Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.259297754941958
"L4Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.295843519894085
"L4Z","En cours d'études initiales","1982-1984",0.02916486369537
"L5Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.352250638508483
"L5Z","Bac + 2","1982-1984",0.121917584547746
"L5Z","Bac, brevet professionnel ou équivalent","1982-1984",0.203464220199229
"L5Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.11647942625484
"L5Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.194265211641276
"L5Z","En cours d'études initiales","1982-1984",0.0116229188484272
"L6Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.154168887192366
"L6Z","Bac + 2","1982-1984",0.0725943707554731
"L6Z","Bac, brevet professionnel ou équivalent","1982-1984",0.188639659847198
"L6Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.193026350835668
"L6Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.390634433033985
"L6Z","En cours d'études initiales","1982-1984",0.000936298335309499
"M0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00540202132526613
"M0Z","Bac + 2","1982-1984",0.0184462895306559
"M0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0962123683041138
"M0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.412771518445633
"M0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.463048755661309
"M0Z","En cours d'études initiales","1982-1984",0.00411904673302264
"M1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0639958430455529
"M1Z","Bac + 2","1982-1984",0.174373271911299
"M1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.314141889333986
"M1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.173152554993546
"M1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.260088508010728
"M1Z","En cours d'études initiales","1982-1984",0.0142479327048874
"M2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.560995602415911
"M2Z","Bac + 2","1982-1984",0.107900487277195
"M2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.163860612493853
"M2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.0534835579178293
"M2Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.110559209920991
"M2Z","En cours d'études initiales","1982-1984",0.00320052997422106
"N0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.650181559124062
"N0Z","Bac + 2","1982-1984",0.10735772369265
"N0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.124247660135255
"N0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.0495690440715101
"N0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.0447919760850403
"N0Z","En cours d'études initiales","1982-1984",0.0238520368914819
"P0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00669724289000017
"P0Z","Bac + 2","1982-1984",0.0278302223564442
"P0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.171295340739949
"P0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.293921469087129
"P0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.491482700910529
"P0Z","En cours d'études initiales","1982-1984",0.00877302401594819
"P1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0698053479342909
"P1Z","Bac + 2","1982-1984",0.0815752604243091
"P1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.364510327563096
"P1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.129247512684017
"P1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.345849682466351
"P1Z","En cours d'études initiales","1982-1984",0.00901186892793667
"P2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.541016672381144
"P2Z","Bac + 2","1982-1984",0.0830862842603406
"P2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.197067344535093
"P2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.0338565279631714
"P2Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.128757894598886
"P2Z","En cours d'études initiales","1982-1984",0.0162152762613647
"P3Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.807105054485939
"P3Z","Bac + 2","1982-1984",0.0814931662754538
"P3Z","Bac, brevet professionnel ou équivalent","1982-1984",0.056815451650708
"P3Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.00781053488825899
"P3Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.0311998411837227
"P3Z","En cours d'études initiales","1982-1984",0.0155759515159172
"P4Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0321825619712889
"P4Z","Bac + 2","1982-1984",0.0466027167666682
"P4Z","Bac, brevet professionnel ou équivalent","1982-1984",0.131137517771812
"P4Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.349330830569672
"P4Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.41674588174174
"P4Z","En cours d'études initiales","1982-1984",0.0240004911788183
"Q0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0258992304850089
"Q0Z","Bac + 2","1982-1984",0.0528060233076372
"Q0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.254281579363523
"Q0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.301789714619445
"Q0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.355378094314378
"Q0Z","En cours d'études initiales","1982-1984",0.00984535791000829
"Q1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0689108023873516
"Q1Z","Bac + 2","1982-1984",0.06480656204319
