Fap3;type_sortie;Pourcentage
V3Z;Démissions               ;16.58
V3Z;Autres sorties           ;2.66
V4Z;Ruptures conventionnelles;1.81
V4Z;Licenciements            ;1.05
V4Z;Fins de période d'essai  ;0.6
V4Z;Fins de CDD              ;88.6
V4Z;Départs en retraite      ;1.77
V4Z;Démissions               ;5.41
V4Z;Autres sorties           ;0.77
V5Z;Ruptures conventionnelles;1.15
V5Z;Licenciements            ;1.09
V5Z;Fins de période d'essai  ;0.61
V5Z;Fins de CDD              ;89.95
V5Z;Départs en retraite      ;0.53
V5Z;Démissions               ;6.14
V5Z;Autres sorties           ;0.52
W0Z;Ruptures conventionnelles;1.04
W0Z;Licenciements            ;1.35
W0Z;Fins de période d'essai  ;0.4
W0Z;Fins de CDD              ;87.47
W0Z;Départs en retraite      ;1.4
W0Z;Démissions               ;6.51
W0Z;Autres sorties           ;1.82
W1Z;Ruptures conventionnelles;1.28
W1Z;Licenciements            ;1.19
W1Z;Fins de période d'essai  ;0.63
W1Z;Fins de CDD              ;92.23
W1Z;Départs en retraite      ;0.7
W1Z;Démissions               ;3.49
W1Z;Autres sorties           ;0.48
X0Z;Ruptures conventionnelles;11.57
X0Z;Licenciements            ;11.45
X0Z;Fins de période d'essai  ;0
X0Z;Fins de CDD              ;52.78
X0Z;Départs en retraite      ;7.2
X0Z;Démissions               ;14.36
X0Z;Autres sorties           ;2.64
ZZZ;Ruptures conventionnelles;5.89
ZZZ;Licenciements            ;5.98
ZZZ;Fins de période d'essai  ;3.77
ZZZ;Fins de CDD              ;63.81
ZZZ;Départs en retraite      ;2.17
ZZZ;Démissions               ;16.7
ZZZ;Autres sorties           ;1.68
